"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@mtothen3","im a diabetologist interest applied genomics computational biology bioinformatics",0,0,0,1,0,0,0,0,0,0,0
"@mibcatluvver","vegan fundraiser for animal charities cat lover into colour crystal healing reiki plus much more",0,0,0,0,0,0,0,1,0,0,0
"@stephaniepride","head of stratedgy personal tweets exploring the potential of today formal futures tweets via stratedgy strategic foresight",0,0,0,0,0,0,0,0,0,0,1
"@sarah_sunu","i love making things friends food stuff quips doing things science dancing exploring working at compassonline tweets are all mine",0,0,0,0,0,0,0,0,0,0,1
"@openparachute","scientist comments on science philosophy religion human rights lives in hamilton new zealand",0,0,0,1,0,0,0,0,0,0,0
"@mengeljo","digital strategy social media for road2paris communications for icsunews strong believer that bringing about change will require decent typography",0,0,0,0,0,0,1,0,0,0,0
"@pascallisch","psychology professor neuroscientist author science educator living the life of the mind arete that said how you perceive me is largely up to you",1,0,0,0,0,0,0,0,0,0,0
"@vashtiruescode3","my daughter has opened my eyes to a new realm of possibilities i love my life am excited to give my princess a baby sister in feb 2013",0,0,0,0,0,0,0,0,0,0,1
"@moulmein","there has to be a better way",0,0,0,0,0,0,0,0,0,0,1
"@norfolkngooduk","if you want to shoot something wild use a camera preferably your own camera though as mine is currently broken",0,0,0,0,0,0,0,0,0,0,1
"@researchethics2","director of research integrity services at the university of new hampshire usa avid reader flower gardener traveler educator learner",0,0,0,1,0,0,0,0,0,0,0
"@lynnekirky","i love my nikon all photographs are my own",0,0,0,0,0,0,0,0,0,0,1
"@rockit77band","meet rockit 77 rockit 77 mixes the timeless sounds of the 70s 80s with cutting edge musical influences of today to create catchy fresh new music",0,0,0,0,0,0,0,0,0,0,1
"@sarahldarwin","totally devoted to my son dogs loves dinosaurs fossils invertebrates shells real skulls f1 my little pony random dolls taking photos",0,0,0,0,0,0,0,0,0,0,1
"@walkinghorizon","single alkahest releases on 10 april",0,0,0,0,0,0,0,0,0,0,1
"@sablesys","thoughts visions revisions from john lighton phd president of sable systems international innovative metabolic measurement systems for scientists",0,0,0,0,0,0,0,0,0,0,1
"@liviol","biologo ciclidofilo amante della natura e scacchista cosa voglio di pi biologist cichlidiot lover of nature chess why should i ask for more",0,0,0,1,0,0,0,0,0,0,0
"@tralexanian","engineering student enthusiast",0,1,0,0,0,0,0,0,0,0,0
"@welshjaci","award winning uk writer broadcaster loves rugby watching tv esp judge alex suits the good wife white collar the americans all the lawyers on hln",0,0,0,0,0,0,1,0,0,0,0
"@uwaterlooalumni","the official twitter account for the university of waterloo alumni",0,0,0,0,0,0,0,0,0,0,1
"@morrisonmast","expedition leader macrophotographer percussionist biophile",0,0,0,1,0,0,0,0,0,0,0
"@linkedscience","spatial information usability linked science semantics information visualization cognitive systems ideas people research working things helsinki now",0,0,0,0,0,0,0,0,0,0,1
"@slpbenbow","marine fisheries scientist working in the eurasia region with faunafloraint but with a soft spot for madagascar all views my own",0,0,0,1,0,0,0,0,0,0,0
"@laurenparry","research fellow at the university of leeds i am interested in carbon cycling management spatial modelling of peatlands tweets are my own",0,1,0,0,0,0,0,0,0,0,0
"@planktoneer","oceanographer father husband not in that order",0,0,0,1,0,0,0,0,0,0,0
"@lalopangue","interested in all phylogenetics genomics",0,0,0,0,0,0,0,0,0,0,1
"@oceanwildnature","outdoor nature diving nut",0,0,0,0,0,0,0,0,0,0,1
"@rspbminsmere","the official account for the rspb in north suffolk minsmere north warren dingle marshes news about wildlife events great days out family fun",0,0,0,0,0,0,1,0,0,0,0
"@physiolentomol","royentsoc journal how insects work from biochemistry to behaviour",0,0,0,0,0,1,0,0,0,0,0
"@rockhoundzrocks","rocks without fault for schools",0,0,0,0,0,0,0,0,0,0,1
"@mattclarkewild","young wildlife photographer filmmaker speaker adventurer runner music writer",0,0,0,0,0,0,1,0,0,0,0
