"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@billofthebirds","my name is bill i am a bird watcher i am also the editor of bird watchers digest magazine the host of the this birding life podcast",0,0,0,0,0,0,1,0,0,0,0
"@aftab6104",NA,0,0,0,0,0,0,0,0,0,1,0
"@hawk17037336","work toward providing global information on environmental humanitarian issues",0,0,0,0,0,0,0,0,0,0,1
"@jvanderhoop","mitwhoi graduate student marine mammalogist oceanographer",0,1,0,0,0,0,0,0,0,0,0
"@juliapgjones","conservation scientist commenting on environment biodiversity stories with a particular interest in madagascar",0,0,0,1,0,0,0,0,0,0,0
"@bpseudomallei","economics biology in other words conservative from the great state of texas currently in taxachusetts go figure",0,0,0,1,0,0,0,0,0,0,0
"@adrian_p_n","geographer critical geographies voyager political ecology assemblage socionatures belonging the commons zimbabwean",0,0,0,1,0,0,0,0,0,0,0
"@chriscmooney","energy environment writer at washingtonpost also tweeting at postgreen",0,0,0,0,0,0,1,0,0,0,0
"@jamesemcdonald","lecturer in environmental microbiology bangoruni all views are personal",1,0,0,0,0,0,0,0,0,0,0
"@gh648","researcher iisdnews enabling govs private sector entities to harness market forces for good finance risk governance resources standards indicators",0,0,0,0,0,0,1,0,0,0,0
"@ag_artigupta",NA,0,0,0,0,0,0,0,0,0,1,0
"@kelecable","grad student at university of minnesota history of science experimental evolution birds prairies author of kestrels cerevisiae histsci",0,1,0,0,0,0,0,0,0,0,0
"@happy_newyear15",NA,0,0,0,0,0,0,0,0,0,1,0
"@fishmdave",NA,0,0,0,0,0,0,0,0,0,1,0
"@kimkmoritz",NA,0,0,0,0,0,0,0,0,0,1,0
"@jonfrosch","set style to overwrought",0,0,0,0,0,0,0,0,0,0,1
"@drmoriartyy","assistant professorhku marine paleoecology macroecology biodiversity deepsea biology conservation paleobiology paleontology of ostracoda etc",0,0,0,1,0,0,0,0,0,0,0
"@geographicalmag","the magazine of the royal geographical society culture wildlife environment science travel exploration andof coursegeography",0,0,0,0,0,1,0,0,0,0,0
"@analauda","information specialist at institute for oncology radiology of serbia",0,0,0,0,0,1,0,0,0,0,0
"@emeraldseajess","marine ecologist research coordinator for howe sound research at the vancouver aquarium msc student at simon fraser university",0,1,0,0,0,0,0,0,0,0,0
"@ecowatchnz","marine environmental researcher",0,0,0,0,0,0,0,0,0,0,1
"@amycerini","i 3 stains",0,0,0,0,0,0,0,0,0,0,1
"@grovelab","recently independent virologist at uclslms using badass microscopes to study how viruses enter cells evade the immune system",0,1,0,0,0,0,0,0,0,0,0
"@drantonialaw","physical geographer with an interest in quaternary environments palaeolimnology occasional moraine embracer chablis chaser works at keele university",0,0,0,1,0,0,0,0,0,0,0
"@davidpsanders","computational physicist experimental mathematician julian julialang teacher parttime violinist",0,0,0,1,0,0,0,0,0,0,0
"@aliciaglassco","oceanloving pollution maven",0,0,0,0,0,0,0,0,0,0,1
"@aquafiles","media guy scientific diver marine critter geek tweets from above below the waves board member marineafloat shark dive program instructor ptdefiancezoo",0,0,1,0,0,0,0,0,0,0,0
"@fedhillbillies","baltimore americana",0,0,0,0,0,0,0,0,0,0,1
"@astburydiana",NA,0,0,0,0,0,0,0,0,0,1,0
"@ctennie","my own researchs news here mostly on great ape cognition topics include cumulative culture social learning imitation cooperation altruism",0,0,0,0,0,0,1,0,0,0,0
"@benjamin_finkel","researcher with the owl monkey project duke grad primate",0,0,0,0,0,0,0,0,0,0,1
"@elizardbethday",NA,0,0,0,0,0,0,0,0,0,1,0
"@anifpo",NA,0,0,0,0,0,0,0,0,0,1,0
"@doclach","ocean lover bodyboarder surfer editor dream therapist drinker of bourbon broad interests relaxed bloke political waxhead backwork pic by andrew goldie",0,0,0,0,0,0,1,0,0,0,0
"@alyj_matt",NA,0,0,0,0,0,0,0,0,0,1,0
"@azim30153364","bioinformaticsdata mining machine learning",0,0,0,1,0,0,0,0,0,0,0
"@astroalanod","i looovee science astronomy nasa i have no special talentsim only passionately curious alberteinstein",0,0,0,1,0,0,0,0,0,0,0
"@jayjaymarvin","outsider artist former broadcaster author punk blood published by fc2 you can find jay marvin art at https tco dwje4jlca3",0,0,0,0,0,0,1,0,0,0,0
"@bilinskiteresa","microbebiogeochemecologist",0,0,0,1,0,0,0,0,0,0,0
"@goodnatureart","bioregional poster field guides pocket journals for indy bookstores 17 years craft beer posters green printing made in seattle washington",0,0,0,0,0,0,0,0,0,0,1
"@drcarolinadler","envpolicy science geographer ethen climate adaptation drr scipol eval transdisciplinarity mountains latinamerica uiaa mountain protection",0,0,0,1,0,0,0,0,0,0,0
"@flo_jewellery","trying to think of something interesting to say about myselfsorrycant",0,0,0,0,0,0,0,0,0,0,1
"@foggyideas","plant ecologist with a clue studying fire fog ecology at uc santa barbara amateur rock hopper semipro pancake chef",0,1,0,0,0,0,0,0,0,0,0
"@hlhargarten","graduate student studying giant kelp population genetics with a passion for ocean conservation sustainable seafood management consumption",0,1,0,0,0,0,0,0,0,0,0
"@btdriscoll","associate professor of microbiology",1,0,0,0,0,0,0,0,0,0,0
"@jessdrew","transplant from nyc living in sandiego i handle strategic partnerships for a wellness company in hillcrest go ahead put your number in my phone",0,0,0,0,0,0,0,0,0,0,1
"@cdiffsupport","supporting patients their families campaigning for better standards in our hospitals supporting vital research into healthcare infections",0,0,0,0,0,0,0,0,0,0,1
"@2smoll",NA,0,0,0,0,0,0,0,0,0,1,0
"@danmontie","scifi fantasy space aviation scuba diving politics history motorcycle roadracing iom tt reading eve online are some of my interests",0,0,0,0,0,0,0,0,0,0,1
"@alammahb","ecological economist at conservation international conservationorg tweets are my own opinion",0,0,0,1,0,0,0,1,0,0,0
"@hopkina123",NA,0,0,0,0,0,0,0,0,0,1,0
"@kata_young",NA,0,0,0,0,0,0,0,0,0,1,0
